Simulation,Iterations,Success,Score,Extra Info
1,1,True,1.0,
2,2,True,1.0,
3,1,True,1.0,
4,1,True,1.0,
5,1,True,1.0,
6,1,True,1.0,
7,1,True,1.0,
8,2,True,1.0,
9,0,True,1.0,
10,3,True,1.0,
11,2,True,1.0,
12,2,True,1.0,
13,1,True,1.0,
14,2,True,1.0,
15,4,True,1.0,
16,49,False,0.10000000000000009,
17,2,True,1.0,
18,4,True,1.0,
19,2,True,1.0,
20,2,True,1.0,
21,1,True,1.0,
22,3,True,1.0,
23,0,True,1.0,
24,2,True,1.0,
25,2,True,1.0,
26,49,False,0.19999999999999996,
27,0,True,1.0,
28,49,False,0.30000000000000004,
29,1,True,1.0,
30,2,True,1.0,
